 ,Label,Area,X,Y,BX,BY,Width,Height,Width,X
211,0.14;100%;1P;I02-1.tif,14.84,483.465,722.308,481.538,720.382,3.852,3.852,3.852,483.465
212,0.14;100%;1P;I02-1.tif,14.84,1169.175,730.012,1167.249,728.086,3.852,3.852,3.852,1169.175
213,0.14;100%;1P;I02-1.tif,29.681,1034.345,735.791,1032.418,731.938,3.852,7.705,3.852,1034.345
214,0.14;100%;1P;I02-1.tif,1276.264,1737.794,751.2,1718.129,731.938,38.523,38.523,38.523,1737.794
215,0.14;100%;1P;I02-1.tif,29.681,1013.157,739.643,1009.305,735.791,7.705,7.705,7.705,1013.157
216,0.14;100%;1P;I02-1.tif,59.361,673.191,742.532,666.449,739.643,11.557,7.705,11.557,673.191
217,0.14;100%;1P;I02-1.tif,103.882,1666.123,746.522,1660.345,739.643,11.557,15.409,11.557,1666.123
218,0.14;100%;1P;I02-1.tif,14.84,2363.391,741.569,2361.465,739.643,3.852,3.852,3.852,2363.391
219,0.14;100%;1P;I02-1.tif,460.048,3633.534,769.778,3613.465,755.052,38.523,30.818,38.523,3633.534
220,0.14;100%;1P;I02-1.tif,29.681,1656.492,760.831,1652.64,758.905,7.705,3.852,7.705,1656.492
221,0.14;100%;1P;I02-1.tif,14.84,1666.123,760.831,1664.197,758.905,3.852,3.852,3.852,1666.123
222,0.14;100%;1P;I02-1.tif,59.361,1395.498,768.535,1390.683,762.757,7.705,11.557,7.705,1395.498
223,0.14;100%;1P;I02-1.tif,74.201,813.993,770.847,808.985,766.609,11.557,7.705,11.557,813.993
224,0.14;100%;1P;I02-1.tif,29.681,1275.114,772.388,1271.262,770.462,7.705,3.852,7.705,1275.114
225,0.14;100%;1P;I02-1.tif,59.361,149.277,783.945,146.388,778.166,7.705,11.557,7.705,149.277
226,0.14;100%;1P;I02-1.tif,59.361,878.326,785.871,874.474,782.018,7.705,7.705,7.705,878.326
227,0.14;100%;1P;I02-1.tif,133.562,611.019,796.358,604.812,789.723,15.409,11.557,15.409,611.019
228,0.14;100%;1P;I02-1.tif,14.84,3422.775,791.649,3420.849,789.723,3.852,3.852,3.852,3422.775
229,0.14;100%;1P;I02-1.tif,148.403,1418.034,800.124,1409.945,793.575,15.409,15.409,15.409,1418.034
230,0.14;100%;1P;I02-1.tif,29.681,708.825,803.206,704.972,801.28,7.705,3.852,7.705,708.825
231,0.14;100%;1P;I02-1.tif,89.042,692.131,810.911,685.711,805.132,11.557,11.557,11.557,692.131
232,0.14;100%;1P;I02-1.tif,14.84,683.785,818.615,681.858,816.689,3.852,3.852,3.852,683.785
233,0.14;100%;1P;I02-1.tif,14.84,1253.926,818.615,1252,816.689,3.852,3.852,3.852,1253.926
234,0.14;100%;1P;I02-1.tif,103.882,1241.269,824.669,1232.738,820.542,15.409,7.705,15.409,1241.269
235,0.14;100%;1P;I02-1.tif,74.201,1363.332,830.943,1359.865,824.394,7.705,11.557,7.705,1363.332
236,0.14;100%;1P;I02-1.tif,44.521,276.724,848.15,273.514,843.655,7.705,7.705,7.705,276.724
237,0.14;100%;1P;I02-1.tif,29.681,111.717,851.36,107.865,847.508,7.705,7.705,7.705,111.717
