 ,Label,Area,X,Y,BX,BY,Width,Height,3501.786,,distance from edge (nm),diamater(nm)
213,0.14;100%;1P;I05-1.tif,12.755,644.643,333.929,642.857,332.143,3.571,3.571,,,2857.143,3.571
214,0.14;100%;1P;I05-1.tif,51.02,1283.929,339.286,1282.143,332.143,3.571,14.286,,,2217.857,3.571
215,0.14;100%;1P;I05-1.tif,25.51,1710.714,339.286,1707.143,335.714,7.143,7.143,,,1791.072,7.143
216,0.14;100%;1P;I05-1.tif,573.98,2943.849,349.643,2928.571,335.714,28.571,28.571,,,557.937,28.571
217,0.14;100%;1P;I05-1.tif,63.776,820.357,342.5,814.286,339.286,10.714,7.143,,,2681.429,10.714
218,0.14;100%;1P;I05-1.tif,12.755,2458.929,341.071,2457.143,339.286,3.571,3.571,,,1042.857,3.571
219,0.14;100%;1P;I05-1.tif,25.51,960.714,344.643,957.143,342.857,7.143,3.571,,,2541.072,7.143
220,0.14;100%;1P;I05-1.tif,51.02,207.143,350,203.571,346.429,7.143,7.143,,,3294.643,7.143
221,0.14;100%;1P;I05-1.tif,12.755,1641.071,348.214,1639.286,346.429,3.571,3.571,,,1860.715,3.571
222,0.14;100%;1P;I05-1.tif,12.755,2591.071,348.214,2589.286,346.429,3.571,3.571,,,910.715,3.571
223,0.14;100%;1P;I05-1.tif,114.796,855.357,358.135,846.429,350,14.286,14.286,,,2646.429,14.286
224,0.14;100%;1P;I05-1.tif,12.755,1094.643,351.786,1092.857,350,3.571,3.571,,,2407.143,3.571
225,0.14;100%;1P;I05-1.tif,12.755,1505.357,351.786,1503.571,350,3.571,3.571,,,1996.429,3.571
226,0.14;100%;1P;I05-1.tif,38.265,3044.643,351.786,3039.286,350,10.714,3.571,,,457.143,10.714
227,0.14;100%;1P;I05-1.tif,38.265,1382.738,357.738,1378.571,353.571,7.143,7.143,,,2119.048,7.143
228,0.14;100%;1P;I05-1.tif,12.755,2969.643,355.357,2967.857,353.571,3.571,3.571,,,532.143,3.571
229,0.14;100%;1P;I05-1.tif,25.51,385.714,360.714,382.143,357.143,7.143,7.143,,,3116.072,7.143
230,0.14;100%;1P;I05-1.tif,51.02,871.429,362.5,867.857,357.143,7.143,10.714,,,2630.357,7.143
231,0.14;100%;1P;I05-1.tif,229.592,1357.143,367.659,1350,357.143,17.857,21.429,,,2144.643,17.857
