Wavelength (nm)	Raw	1kp	2kp	4kp	4ks
681.0377808	0.120772608	0.020235531	0.304119796	0.723553419	-0.03838281
680.0264893	0.123367168	0.01855338	0.305597454	0.728525102	-0.035954934
679.0148315	0.120028079	0.015863337	0.304815352	0.731674254	-0.03838864
678.0029297	0.127782986	0.014306901	0.305844128	0.733010173	-0.036482714
676.9906006	0.124483489	0.020089131	0.309655279	0.739628851	-0.034393128
675.9780273	0.1223488	0.020891856	0.312877506	0.74582684	-0.030672506
674.9651489	0.122967392	0.01830801	0.309921771	0.748496294	-0.03392591
673.9519043	0.12123175	0.017582599	0.312196344	0.748869598	-0.034399297
672.9383545	0.127643526	0.016410649	0.311304152	0.756858409	-0.035870377
672.0693359	0.130002379	0.019010728	0.311981499	0.756682932	-0.033847615
671.0551758	0.128738731	0.022596577	0.316115886	0.766473055	-0.029617773
670.0407104	0.125779808	0.022867547	0.318665773	0.764318109	-0.030464584
669.0259399	0.127142936	0.023120886	0.318025798	0.766816616	-0.029296214
668.0108643	0.131698057	0.020578552	0.315370143	0.769081295	-0.032275412
666.9954834	0.12742433	0.020840334	0.322207034	0.776213825	-0.029111402
665.9797363	0.132284448	0.020844137	0.321753979	0.780579686	-0.030379822
664.9637451	0.136108682	0.024922745	0.323541135	0.784333706	-0.029233295
663.9473877	0.12863186	0.02251279	0.324473143	0.787559211	-0.028303618
662.9307251	0.132975578	0.022848748	0.322816938	0.788506091	-0.030218847
662.059082	0.135290578	0.023035277	0.32620734	0.791333914	-0.02772495
661.0418091	0.135052651	0.021281693	0.326736301	0.796119273	-0.026873652
660.024292	0.135340601	0.02514264	0.327485114	0.800028622	-0.02646506
659.0064087	0.133818284	0.023827884	0.327172071	0.802500129	-0.026366798
657.9882202	0.134416059	0.025970984	0.329981715	0.805096865	-0.026133696
656.9697876	0.133078709	0.020685749	0.327336073	0.804350853	-0.028207613
655.9509888	0.139738828	0.023924617	0.330125839	0.810225189	-0.026149051
654.9318848	0.143820763	0.023381691	0.331227809	0.816630483	-0.026520733
654.0581055	0.143586725	0.024313847	0.331818879	0.815832138	-0.027020548
653.0384521	0.144577354	0.025051888	0.335254103	0.823083937	-0.026424969
652.0184326	0.142324805	0.023000939	0.331671208	0.821939886	-0.028832732
650.9981689	0.14379023	0.026260624	0.335344344	0.829684019	-0.022787862
649.9775391	0.144295171	0.026431924	0.336077184	0.831609488	-0.026576642
648.956665	0.139177978	0.027533101	0.340268195	0.832724214	-0.023986146
647.9354248	0.143180832	0.022597151	0.337193459	0.836882949	-0.024818912
